date,Hour,ad_mwh
7/16/2015,24,911
7/17/2015,1,834
7/17/2015,2,791
7/17/2015,3,764
7/17/2015,4,772
7/17/2015,5,788
7/17/2015,6,835
7/17/2015,7,970
7/17/2015,8,1068
7/17/2015,9,1126
7/17/2015,10,1167
7/17/2015,11,1195
7/17/2015,12,1219
7/17/2015,13,1233
7/17/2015,14,1229
7/17/2015,15,1220
7/17/2015,16,1211
7/17/2015,17,1209
7/17/2015,18,1192
7/17/2015,19,1141
7/17/2015,20,1107
7/17/2015,21,1081
7/17/2015,22,1087
7/17/2015,23,1042
7/17/2015,24,963
7/18/2015,1,898
7/18/2015,2,856
7/18/2015,3,826
7/18/2015,4,816
7/18/2015,5,821
7/18/2015,6,814
7/18/2015,7,828
7/18/2015,8,896
7/18/2015,9,982
7/18/2015,10,1072
7/18/2015,11,1114
7/18/2015,12,1143
7/18/2015,13,1147
7/18/2015,14,1152
7/18/2015,15,1157
7/18/2015,16,1157
7/18/2015,17,1158
7/18/2015,18,1162
7/18/2015,19,1145
7/18/2015,20,1136
7/18/2015,21,1113
7/18/2015,22,1112
7/18/2015,23,1078
7/18/2015,24,1010
7/19/2015,1,946
7/19/2015,2,902
7/19/2015,3,868
7/19/2015,4,859
7/19/2015,5,836
7/19/2015,6,832
7/19/2015,7,859
7/19/2015,8,929
7/19/2015,9,1002
7/19/2015,10,1078
7/19/2015,11,1113
7/19/2015,12,1160
7/19/2015,13,1182
7/19/2015,14,1196
7/19/2015,15,1209
7/19/2015,16,1219
7/19/2015,17,1249
7/19/2015,18,1238
7/19/2015,19,1234
7/19/2015,20,1217
7/19/2015,21,1194
7/19/2015,22,1198
7/19/2015,23,1139
7/19/2015,24,1039
7/20/2015,1,946
7/20/2015,2,908
7/20/2015,3,879
7/20/2015,4,875
7/20/2015,5,898
7/20/2015,6,952
7/20/2015,7,1044
7/20/2015,8,1132
7/20/2015,9,1182
7/20/2015,10,1191
7/20/2015,11,1229
7/20/2015,12,1250
7/20/2015,13,1247
7/20/2015,14,1238
7/20/2015,15,1248
7/20/2015,16,1253
7/20/2015,17,1260
7/20/2015,18,1264
7/20/2015,19,1227
7/20/2015,20,1184
7/20/2015,21,1144
7/20/2015,22,1151
7/20/2015,23,1075
7/20/2015,24,977
7/21/2015,1,910
7/21/2015,2,870
7/21/2015,3,832
7/21/2015,4,835
7/21/2015,5,847
7/21/2015,6,902
7/21/2015,7,1013
7/21/2015,8,1092
7/21/2015,9,1138
7/21/2015,10,1166
7/21/2015,11,1184
7/21/2015,12,1196
7/21/2015,13,1202
7/21/2015,14,1210
7/21/2015,15,1211
7/21/2015,16,1186
7/21/2015,17,1189
7/21/2015,18,1162
7/21/2015,19,1082
7/21/2015,20,1049
7/21/2015,21,1026
7/21/2015,22,1028
7/21/2015,23,969
7/21/2015,24,891
7/22/2015,1,810
7/22/2015,2,778
7/22/2015,3,752
