date,hour,mwh
8/11/2015,14,997
8/11/2015,15,1098
8/11/2015,16,1160
8/11/2015,17,1200
8/11/2015,18,1234
8/11/2015,19,1256
8/11/2015,20,1270
8/11/2015,21,1282
8/11/2015,22,1289
8/11/2015,23,1293
8/12/2015,0,1303
8/12/2015,1,1268
8/12/2015,2,1190
8/12/2015,3,1153
8/12/2015,4,1148
8/12/2015,5,1130
8/12/2015,6,1043
8/12/2015,7,949
8/12/2015,8,877
8/12/2015,9,833
8/12/2015,10,796
8/12/2015,11,796
8/12/2015,12,809
8/12/2015,13,866
8/12/2015,14,979
8/12/2015,15,1072
8/12/2015,16,1136
8/12/2015,17,1187
8/12/2015,18,1217
8/12/2015,19,1210
8/12/2015,20,1198
8/12/2015,21,1209
8/12/2015,22,1200
8/12/2015,23,1205
8/13/2015,0,1215
8/13/2015,1,1195
8/13/2015,2,1162
8/13/2015,3,1131
8/13/2015,4,1134
8/13/2015,5,1126
8/13/2015,6,1038
8/13/2015,7,950
8/13/2015,8,873
8/13/2015,9,832
8/13/2015,10,799
8/13/2015,11,784
8/13/2015,12,800
8/13/2015,13,858
8/13/2015,14,967
8/13/2015,15,1050
8/13/2015,16,1102
8/13/2015,17,1149
8/13/2015,18,1189
8/13/2015,19,1210
8/13/2015,20,1211
8/13/2015,21,1243
8/13/2015,22,1234
8/13/2015,23,1244
8/14/2015,0,1255
8/14/2015,1,1246
8/14/2015,2,1198
8/14/2015,3,1143
8/14/2015,4,1143
8/14/2015,5,1127
8/14/2015,6,1041
8/14/2015,7,951
8/14/2015,8,873
8/14/2015,9,825
8/14/2015,10,795
8/14/2015,11,790
8/14/2015,12,822
8/14/2015,13,899
8/14/2015,14,990
8/14/2015,15,1124
8/14/2015,16,1152
8/14/2015,17,1179
8/14/2015,18,1210
8/14/2015,19,1197
8/14/2015,20,1194
8/14/2015,21,1200
8/14/2015,22,1183
8/14/2015,23,1160
8/15/2015,0,1155
8/15/2015,1,1144
8/15/2015,2,1110
8/15/2015,3,1051
8/15/2015,4,1062
8/15/2015,5,1037
8/15/2015,6,983
8/15/2015,7,916
8/15/2015,8,858
8/15/2015,9,820
8/15/2015,10,796
8/15/2015,11,780
8/15/2015,12,789
8/15/2015,13,806
8/15/2015,14,825
8/15/2015,15,878
8/15/2015,16,956
8/15/2015,17,1014
8/15/2015,18,1040
8/15/2015,19,1050
8/15/2015,20,1044
8/15/2015,21,1031
8/15/2015,22,1024
8/15/2015,23,1005
8/16/2015,0,999
8/16/2015,1,1002
8/16/2015,2,989
8/16/2015,3,979
8/16/2015,4,993
8/16/2015,5,993
8/16/2015,6,958
8/16/2015,7,897
8/16/2015,8,838
8/16/2015,9,802
8/16/2015,10,783
8/16/2015,11,768
8/16/2015,12,731
8/16/2015,13,770
8/16/2015,14,783
8/16/2015,15,804
8/16/2015,16,901
8/16/2015,17,968
8/16/2015,18,1006
8/16/2015,19,1023
8/16/2015,20,1040
8/16/2015,21,1042
8/16/2015,22,1045
8/16/2015,23,1030
8/17/2015,0,1049
8/17/2015,1,1064
8/17/2015,2,1061
8/17/2015,3,1053
8/17/2015,4,1061
8/17/2015,5,1053
8/17/2015,6,990
8/17/2015,7,909
8/17/2015,8,840
8/17/2015,9,807
8/17/2015,10,792
8/17/2015,11,789
8/17/2015,12,804
8/17/2015,13,857
8/17/2015,14,965
8/17/2015,15,1042
8/17/2015,16,1106
8/17/2015,17,1143
8/17/2015,18,1178
8/17/2015,19,1198
8/17/2015,20,1208
8/17/2015,21,1222
8/17/2015,22,1201
8/17/2015,23,1219
8/18/2015,0,1231
8/18/2015,1,1224
8/18/2015,2,1185
8/18/2015,3,1136
8/18/2015,4,1160
8/18/2015,5,1136
8/18/2015,6,1048
8/18/2015,7,930
8/18/2015,8,883
8/18/2015,9,839
8/18/2015,10,821
8/18/2015,11,810
8/18/2015,12,825
8/18/2015,13,876
8/18/2015,14,947
8/18/2015,15,1052
8/18/2015,16,1113
8/18/2015,17,1149
8/18/2015,18,1183
8/18/2015,19,1185
8/18/2015,20,1208
8/18/2015,21,1221
