date,hour,mwh
7/22/2015,2,361
7/22/2015,1,399
7/22/2015,0,537
7/23/2015,23,594
7/23/2015,22,654
7/23/2015,21,800
7/23/2015,20,752
7/23/2015,19,654
7/23/2015,18,639
7/23/2015,17,607
7/23/2015,16,533
7/23/2015,15,471
7/23/2015,14,268
7/23/2015,13,249
7/23/2015,12,199
7/23/2015,11,227
7/23/2015,10,216
7/23/2015,9,215
7/23/2015,8,281
7/23/2015,7,365
7/23/2015,6,552
7/23/2015,5,590
7/23/2015,4,693
7/23/2015,3,560
7/23/2015,2,502
7/23/2015,1,559
7/23/2015,0,643
7/24/2015,23,557
7/24/2015,22,608
7/24/2015,21,523
7/24/2015,20,683
7/24/2015,19,657
7/24/2015,18,530
7/24/2015,17,515
7/24/2015,16,538
7/24/2015,15,406
7/24/2015,14,285
7/24/2015,13,309
7/24/2015,12,231
7/24/2015,11,211
7/24/2015,10,216
7/24/2015,9,242
7/24/2015,8,324
7/24/2015,7,312
7/24/2015,6,254
7/24/2015,5,404
7/24/2015,4,505
7/24/2015,3,449
7/24/2015,2,539
7/24/2015,1,569
7/24/2015,0,556
7/25/2015,23,485
7/25/2015,22,524
7/25/2015,21,561
7/25/2015,20,534
7/25/2015,19,443
7/25/2015,18,417
7/25/2015,17,437
7/25/2015,16,401
7/25/2015,15,286
7/25/2015,14,237
7/25/2015,13,248
7/25/2015,12,198
7/25/2015,11,264
7/25/2015,10,267
7/25/2015,9,289
7/25/2015,8,297
7/25/2015,7,367
7/25/2015,6,426
7/25/2015,5,463
7/25/2015,4,455
7/25/2015,3,408
7/25/2015,2,555
7/25/2015,1,568
7/25/2015,0,545
7/26/2015,23,505
7/26/2015,22,506
7/26/2015,21,545
7/26/2015,20,580
7/26/2015,19,548
7/26/2015,18,524
7/26/2015,17,408
7/26/2015,16,333
7/26/2015,15,253
7/26/2015,14,235
7/26/2015,13,238
7/26/2015,12,217
7/26/2015,11,241
7/26/2015,10,258
7/26/2015,9,253
7/26/2015,8,242
7/26/2015,7,377
7/26/2015,6,373
7/26/2015,5,366
7/26/2015,4,361
7/26/2015,3,372
7/26/2015,2,441
7/26/2015,1,463
7/26/2015,0,440
7/27/2015,23,506
7/27/2015,22,567
7/27/2015,21,563
7/27/2015,20,546
7/27/2015,19,562
7/27/2015,18,606
7/27/2015,17,545
7/27/2015,16,495
7/27/2015,15,307
7/27/2015,14,223
7/27/2015,13,266
7/27/2015,12,236
7/27/2015,11,266
7/27/2015,10,257
7/27/2015,9,291
7/27/2015,8,267
7/27/2015,7,246
7/27/2015,6,312
7/27/2015,5,438
7/27/2015,4,445
7/27/2015,3,507
7/27/2015,2,538
7/27/2015,1,551
7/27/2015,0,499
7/28/2015,23,607
7/28/2015,22,557
7/28/2015,21,529
7/28/2015,20,494
7/28/2015,19,507
7/28/2015,18,456
7/28/2015,17,528
7/28/2015,16,483
7/28/2015,15,449
7/28/2015,14,223
7/28/2015,13,251
7/28/2015,12,250
7/28/2015,11,231
7/28/2015,10,238
7/28/2015,9,226
7/28/2015,8,226
7/28/2015,7,359
7/28/2015,6,452
7/28/2015,5,518
7/28/2015,4,517
7/28/2015,3,532
7/28/2015,2,507
7/28/2015,1,472
7/28/2015,0,523
7/29/2015,23,736
7/29/2015,22,599
7/29/2015,21,580
7/29/2015,20,512
7/29/2015,19,620
7/29/2015,18,575
7/29/2015,17,467
7/29/2015,16,415
7/29/2015,15,337
7/29/2015,14,252
7/29/2015,13,219
7/29/2015,12,226
7/29/2015,11,241
7/29/2015,10,219
7/29/2015,9,234
7/29/2015,8,260
7/29/2015,7,253
7/29/2015,6,425
7/29/2015,5,417
7/29/2015,4,488
7/29/2015,3,428
7/29/2015,2,653
7/29/2015,1,744
7/29/2015,0,700
7/30/2015,23,620
7/30/2015,22,594
7/30/2015,21,463
7/30/2015,20,384
7/30/2015,19,473
7/30/2015,18,452
7/30/2015,17,344
7/30/2015,16,331
7/30/2015,15,256
7/30/2015,14,242
7/30/2015,13,225
7/30/2015,12,227
7/30/2015,11,227
7/30/2015,10,244
7/30/2015,9,234
7/30/2015,8,272
7/30/2015,7,445
7/30/2015,6,523
7/30/2015,5,525
7/30/2015,4,578
7/30/2015,3,522
7/30/2015,2,580
7/30/2015,1,759
7/30/2015,0,696
7/31/2015,23,620
7/31/2015,22,566
7/31/2015,21,430
7/31/2015,20,343
7/31/2015,19,431
7/31/2015,18,322
7/31/2015,17,340
7/31/2015,16,300
7/31/2015,15,213
7/31/2015,14,248
7/31/2015,13,229
7/31/2015,12,230
7/31/2015,11,225
7/31/2015,10,250
7/31/2015,9,272
7/31/2015,8,289
7/31/2015,7,466
7/31/2015,6,639
7/31/2015,5,474
7/31/2015,4,612
7/31/2015,3,565
7/31/2015,2,607
7/31/2015,1,683
7/31/2015,0,703
8/1/2015,23,545
8/1/2015,22,532
8/1/2015,21,475
8/1/2015,20,418
8/1/2015,19,352
8/1/2015,18,341
8/1/2015,17,273
8/1/2015,16,246
8/1/2015,15,164
8/1/2015,14,221
8/1/2015,13,227
8/1/2015,12,220
8/1/2015,11,211
8/1/2015,10,208
8/1/2015,9,232
8/1/2015,8,215
8/1/2015,7,306
8/1/2015,6,340
8/1/2015,5,370
8/1/2015,4,417
8/1/2015,3,407
8/1/2015,2,460
8/1/2015,1,682
8/1/2015,0,663
8/2/2015,23,364
8/2/2015,22,336
8/2/2015,21,313
8/2/2015,20,332
8/2/2015,19,296
8/2/2015,18,292
8/2/2015,17,237
8/2/2015,16,194
8/2/2015,15,169
8/2/2015,14,177
8/2/2015,13,221
8/2/2015,12,228
8/2/2015,11,214
8/2/2015,10,237
8/2/2015,9,234
8/2/2015,8,258
8/2/2015,7,267
8/2/2015,6,222
8/2/2015,5,302
8/2/2015,4,428
8/2/2015,3,416
8/2/2015,2,488
8/2/2015,1,541
8/2/2015,0,493
8/3/2015,23,509
8/3/2015,22,499
8/3/2015,21,427
8/3/2015,20,419
8/3/2015,19,480
8/3/2015,18,362
8/3/2015,17,373
8/3/2015,16,283
8/3/2015,15,196
8/3/2015,14,195
8/3/2015,13,228
8/3/2015,12,270
8/3/2015,11,232
8/3/2015,10,209
8/3/2015,9,212
8/3/2015,8,228
8/3/2015,7,200
8/3/2015,6,332
8/3/2015,5,307
8/3/2015,4,320
8/3/2015,3,286
8/3/2015,2,424
8/3/2015,1,465
8/3/2015,0,388
8/4/2015,23,522
8/4/2015,22,417
8/4/2015,21,413
8/4/2015,20,390
8/4/2015,19,348
8/4/2015,18,328
8/4/2015,17,331
8/4/2015,16,304
8/4/2015,15,249
8/4/2015,14,188
8/4/2015,13,203
8/4/2015,12,191
8/4/2015,11,174
8/4/2015,10,226
8/4/2015,9,236
8/4/2015,8,261
8/4/2015,7,338
8/4/2015,6,323
8/4/2015,5,316
8/4/2015,4,404
8/4/2015,3,469
8/4/2015,2,488
8/4/2015,1,553
8/4/2015,0,493
8/5/2015,23,594
8/5/2015,22,579
8/5/2015,21,547
8/5/2015,20,634
8/5/2015,19,498
8/5/2015,18,421
8/5/2015,17,321
8/5/2015,16,335
8/5/2015,15,222
8/5/2015,14,192
8/5/2015,13,227
8/5/2015,12,192
8/5/2015,11,172
8/5/2015,10,190
8/5/2015,9,172
8/5/2015,8,188
8/5/2015,7,224
8/5/2015,6,281
8/5/2015,5,270
8/5/2015,4,327
8/5/2015,3,393
8/5/2015,2,446
8/5/2015,1,486
8/5/2015,0,498
8/6/2015,23,528
8/6/2015,22,547
8/6/2015,21,533
8/6/2015,20,492
8/6/2015,19,484
8/6/2015,18,475
8/6/2015,17,356
8/6/2015,16,359
8/6/2015,15,305
8/6/2015,14,227
8/6/2015,13,187
8/6/2015,12,179
8/6/2015,11,181
8/6/2015,10,196
8/6/2015,9,215
8/6/2015,8,197
8/6/2015,7,233
8/6/2015,6,282
8/6/2015,5,326
8/6/2015,4,283
8/6/2015,3,312
8/6/2015,2,339
8/6/2015,1,411
8/6/2015,0,391
8/7/2015,23,575
8/7/2015,22,539
8/7/2015,21,537
8/7/2015,20,432
8/7/2015,19,421
8/7/2015,18,426
8/7/2015,17,405
8/7/2015,16,323
8/7/2015,15,192
8/7/2015,14,193
8/7/2015,13,228
8/7/2015,12,192
8/7/2015,11,187
8/7/2015,10,180
8/7/2015,9,181
8/7/2015,8,194
8/7/2015,7,207
8/7/2015,6,302
8/7/2015,5,404
8/7/2015,4,420
8/7/2015,3,456
8/7/2015,2,514
8/7/2015,1,572
8/7/2015,0,584
8/8/2015,23,387
8/8/2015,22,367
8/8/2015,21,419
8/8/2015,20,388
8/8/2015,19,314
8/8/2015,18,287
8/8/2015,17,275
8/8/2015,16,214
8/8/2015,15,201
8/8/2015,14,212
8/8/2015,13,238
8/8/2015,12,225
8/8/2015,11,208
8/8/2015,10,225
8/8/2015,9,245
8/8/2015,8,296
8/8/2015,7,305
8/8/2015,6,386
8/8/2015,5,284
8/8/2015,4,369
8/8/2015,3,338
8/8/2015,2,458
8/8/2015,1,504
8/8/2015,0,504
8/9/2015,23,377
8/9/2015,22,393
8/9/2015,21,312
8/9/2015,20,287
8/9/2015,19,304
8/9/2015,18,313
8/9/2015,17,344
8/9/2015,16,306
8/9/2015,15,210
8/9/2015,14,223
8/9/2015,13,196
8/9/2015,12,215
8/9/2015,11,182
8/9/2015,10,204
8/9/2015,9,243
8/9/2015,8,201
8/9/2015,7,213
8/9/2015,6,303
8/9/2015,5,323
8/9/2015,4,303
8/9/2015,3,356
8/9/2015,2,408
8/9/2015,1,411
8/9/2015,0,449
8/10/2015,23,536
8/10/2015,22,545
8/10/2015,21,492
8/10/2015,20,416
8/10/2015,19,435
8/10/2015,18,384
8/10/2015,17,294
8/10/2015,16,354
8/10/2015,15,205
8/10/2015,14,199
8/10/2015,13,188
8/10/2015,12,225
8/10/2015,11,213
8/10/2015,10,198
8/10/2015,9,213
8/10/2015,8,206
8/10/2015,7,171
8/10/2015,6,206
8/10/2015,5,380
8/10/2015,4,461
8/10/2015,3,451
8/10/2015,2,606
8/10/2015,1,574
8/10/2015,0,514
8/11/2015,23,465
8/11/2015,22,584
8/11/2015,21,487
8/11/2015,20,450
8/11/2015,19,250
8/11/2015,18,269
8/11/2015,17,260
8/11/2015,16,194
8/11/2015,15,166
8/11/2015,14,174
8/11/2015,13,178
8/11/2015,12,190
8/11/2015,11,218
8/11/2015,10,192
8/11/2015,9,221
8/11/2015,8,237
8/11/2015,7,219
8/11/2015,6,320
8/11/2015,5,447
8/11/2015,4,485
8/11/2015,3,434
8/11/2015,2,457
8/11/2015,1,487
8/11/2015,0,585
8/12/2015,23,360
8/12/2015,22,433
8/12/2015,21,386
8/12/2015,20,244
8/12/2015,19,366
8/12/2015,18,353
8/12/2015,17,237
8/12/2015,16,306
8/12/2015,15,161
8/12/2015,14,192
8/12/2015,13,188
8/12/2015,12,175
8/12/2015,11,171
8/12/2015,10,171
8/12/2015,9,191
8/12/2015,8,194
8/12/2015,7,208
8/12/2015,6,206
8/12/2015,5,304
8/12/2015,4,333
8/12/2015,3,369
8/12/2015,2,377
8/12/2015,1,470
8/12/2015,0,483
8/13/2015,23,478
8/13/2015,22,438
8/13/2015,21,463
8/13/2015,20,357
8/13/2015,19,359
8/13/2015,18,281
8/13/2015,17,306
8/13/2015,16,296
8/13/2015,15,157
8/13/2015,14,200
8/13/2015,13,183
8/13/2015,12,213
8/13/2015,11,169
8/13/2015,10,163
8/13/2015,9,206
8/13/2015,8,216
8/13/2015,7,157
8/13/2015,6,198
8/13/2015,5,308
8/13/2015,4,275
8/13/2015,3,317
8/13/2015,2,299
8/13/2015,1,339
8/13/2015,0,352
8/14/2015,23,316
8/14/2015,22,294
8/14/2015,21,296
8/14/2015,20,213
8/14/2015,19,224
8/14/2015,18,248
8/14/2015,17,243
8/14/2015,16,279
8/14/2015,15,168
8/14/2015,14,194
8/14/2015,13,193
8/14/2015,12,159
8/14/2015,11,157
8/14/2015,10,145
8/14/2015,9,159
8/14/2015,8,221
8/14/2015,7,226
8/14/2015,6,316
8/14/2015,5,316
8/14/2015,4,338
8/14/2015,3,365
8/14/2015,2,441
8/14/2015,1,544
8/14/2015,0,514
8/15/2015,23,275
8/15/2015,22,261
8/15/2015,21,275
8/15/2015,20,253
8/15/2015,19,152
8/15/2015,18,152
8/15/2015,17,147
8/15/2015,16,145
8/15/2015,15,182
8/15/2015,14,186
8/15/2015,13,155
8/15/2015,12,188
8/15/2015,11,154
8/15/2015,10,158
8/15/2015,9,187
8/15/2015,8,201
8/15/2015,7,171
8/15/2015,6,169
8/15/2015,5,265
8/15/2015,4,272
8/15/2015,3,271
8/15/2015,2,310
8/15/2015,1,319
8/15/2015,0,279
8/16/2015,23,364
8/16/2015,22,376
8/16/2015,21,371
8/16/2015,20,312
8/16/2015,19,374
8/16/2015,18,308
8/16/2015,17,357
8/16/2015,16,289
8/16/2015,15,173
8/16/2015,14,164
8/16/2015,13,164
8/16/2015,12,167
8/16/2015,11,166
8/16/2015,10,165
8/16/2015,9,167
8/16/2015,8,166
8/16/2015,7,284
8/16/2015,6,308
8/16/2015,5,274
8/16/2015,4,300
8/16/2015,3,291
8/16/2015,2,275
8/16/2015,1,285
8/16/2015,0,264
8/17/2015,23,402
8/17/2015,22,384
8/17/2015,21,448
8/17/2015,20,475
8/17/2015,19,492
8/17/2015,18,362
8/17/2015,17,306
8/17/2015,16,196
8/17/2015,15,165
8/17/2015,14,167
8/17/2015,13,166
8/17/2015,12,172
8/17/2015,11,166
8/17/2015,10,175
8/17/2015,9,165
8/17/2015,8,182
8/17/2015,7,189
8/17/2015,6,232
8/17/2015,5,452
8/17/2015,4,406
8/17/2015,3,387
8/17/2015,2,403
8/17/2015,1,381
8/17/2015,0,307
8/18/2015,23,503
8/18/2015,22,481
8/18/2015,21,459
8/18/2015,20,306
8/18/2015,19,359
8/18/2015,18,280
8/18/2015,17,155
8/18/2015,16,203
8/18/2015,15,198
8/18/2015,14,175
8/18/2015,13,167
8/18/2015,12,173
8/18/2015,11,169
8/18/2015,10,189
8/18/2015,9,185
8/18/2015,8,181
8/18/2015,7,195
8/18/2015,6,293
8/18/2015,5,412
8/18/2015,4,445
8/18/2015,3,385
8/18/2015,2,430
8/18/2015,1,462
8/18/2015,0,436
8/19/2015,23,446
8/19/2015,22,482
8/19/2015,21,498
8/19/2015,20,406
8/19/2015,19,481
8/19/2015,18,353
8/19/2015,17,199
8/19/2015,16,152
8/19/2015,15,188
8/19/2015,14,168
8/19/2015,13,194
8/19/2015,12,158
8/19/2015,11,157
8/19/2015,10,162
8/19/2015,9,182
8/19/2015,8,198
8/19/2015,7,194
8/19/2015,6,342
8/19/2015,5,307
