date,hour,mwh
7/15/2015,11H,233
7/15/2015,12H,232
7/15/2015,13H,211
7/15/2015,14H,394
7/15/2015,15H,533
7/15/2015,16H,635
7/15/2015,17H,690
7/15/2015,18H,716
7/15/2015,19H,673
7/15/2015,20H,658
7/15/2015,21H,720
7/15/2015,22H,706
7/15/2015,23H,595
7/16/2015,00H,561
7/16/2015,01H,638
7/16/2015,02H,571
7/16/2015,03H,570
7/16/2015,04H,604
7/16/2015,05H,373
7/16/2015,06H,303
7/16/2015,07H,395
7/16/2015,08H,251
7/16/2015,09H,241
7/16/2015,10H,234
7/16/2015,11H,219
7/16/2015,12H,211
7/16/2015,13H,227
7/16/2015,14H,363
7/16/2015,15H,396
7/16/2015,16H,577
7/16/2015,17H,467
7/16/2015,18H,647
7/16/2015,19H,648
7/16/2015,20H,660
7/16/2015,21H,647
7/16/2015,22H,590
7/16/2015,23H,498
7/17/2015,00H,695
7/17/2015,01H,639
7/17/2015,02H,538
7/17/2015,03H,495
7/17/2015,04H,600
7/17/2015,05H,501
7/17/2015,06H,518
7/17/2015,07H,372
7/17/2015,08H,247
7/17/2015,09H,240
7/17/2015,10H,215
7/17/2015,11H,207
7/17/2015,12H,203
7/17/2015,13H,207
7/17/2015,14H,336
7/17/2015,15H,358
7/17/2015,16H,379
7/17/2015,17H,469
7/17/2015,18H,421
7/17/2015,19H,653
7/17/2015,20H,698
7/17/2015,21H,733
7/17/2015,22H,715
7/17/2015,23H,695
7/18/2015,00H,714
7/18/2015,01H,727
7/18/2015,02H,597
7/18/2015,03H,519
7/18/2015,04H,440
7/18/2015,05H,469
7/18/2015,06H,563
7/18/2015,07H,461
7/18/2015,08H,301
7/18/2015,09H,255
7/18/2015,10H,276
7/18/2015,11H,234
7/18/2015,12H,246
7/18/2015,13H,228
7/18/2015,14H,222
7/18/2015,15H,219
7/18/2015,16H,365
7/18/2015,17H,543
7/18/2015,18H,643
7/18/2015,19H,640
7/18/2015,20H,759
7/18/2015,21H,743
7/18/2015,22H,727
7/18/2015,23H,743
7/19/2015,00H,810
7/19/2015,01H,788
7/19/2015,02H,743
7/19/2015,03H,654
7/19/2015,04H,498
7/19/2015,05H,457
7/19/2015,06H,529
7/19/2015,07H,512
7/19/2015,08H,300
7/19/2015,09H,231
7/19/2015,10H,242
7/19/2015,11H,218
7/19/2015,12H,217
7/19/2015,13H,207
7/19/2015,14H,265
7/19/2015,15H,333
7/19/2015,16H,387
7/19/2015,17H,549
7/19/2015,18H,670
7/19/2015,19H,762
7/19/2015,20H,713
7/19/2015,21H,707
7/19/2015,22H,731
7/19/2015,23H,626
7/20/2015,00H,714
7/20/2015,01H,586
7/20/2015,02H,578
7/20/2015,03H,615
7/20/2015,04H,665
7/20/2015,05H,650
7/20/2015,06H,449
7/20/2015,07H,268
7/20/2015,08H,337
7/20/2015,09H,249
7/20/2015,10H,236
7/20/2015,11H,276
7/20/2015,12H,238
7/20/2015,13H,233
7/20/2015,14H,403
7/20/2015,15H,352
7/20/2015,16H,431
7/20/2015,17H,353
7/20/2015,18H,412
7/20/2015,19H,450
7/20/2015,20H,417
7/20/2015,21H,403
7/20/2015,22H,429
7/20/2015,23H,417
7/21/2015,00H,451
7/21/2015,01H,536
7/21/2015,02H,555
7/21/2015,03H,518
7/21/2015,04H,427
7/21/2015,05H,506
7/21/2015,06H,338
7/21/2015,07H,340
7/21/2015,08H,330
7/21/2015,09H,226
7/21/2015,10H,235
7/21/2015,11H,249
7/21/2015,12H,261
7/21/2015,13H,276
7/21/2015,14H,397
7/21/2015,15H,553
